# ep	d_lat	d_lon	fecha
NESA	-0.009	-0.038	2013-05-15
PRNA	0.015	-0.005	2013-05-15
UYPA	0.002	-0.007	2013-05-15
UYSO	-0.002	0.004	2013-05-15
ALUM	-0.006	0.003	2013-07-24
AZUL	0.004	-0.004	2013-07-24
BCAR	-0.007	-0.003	2013-07-24
CATA	-0.007	0.006	2013-07-24
EBYP	-0.006	-0.001	2013-07-24
ESQU	-0.002	-0.004	2013-07-24
IGM1	0.003	-0.003	2013-07-24
LHCL	0.002	-0.017	2013-07-24
LPGS	0.004	0.001	2013-07-24
MZAC	0.005	0.007	2013-07-24
SL01	-0.083	-0.035	2013-07-24
SRLP	-0.001	-0.018	2013-07-24
TUCU	-0.007	0.012	2013-07-24
UCOR	-0.002	-0.010	2013-07-24
UNRO	-0.002	0.002	2013-07-24
UNSA	-0.002	-0.013	2013-07-24
UYTA	0.001	0.001	2013-07-24
VBCA	0.006	-0.016	2013-07-24
GUAY	0.002	-0.008	2013-07-24
MPL2	0.003	-0.006	2013-07-24
NESA	-0.007	-0.035	2013-07-24
PRNA	0.019	-0.004	2013-07-24
UYPA	0.007	-0.004	2013-07-24
UYSO	0.002	0.006	2013-07-24
ALUM	-0.007	0.002	2013-10-02
AZUL	0.002	-0.005	2013-10-02
CATA	-0.008	0.003	2013-10-02
EBYP	-0.009	-0.002	2013-10-02
ESQU	-0.003	-0.007	2013-10-02
IGM1	-0.001	-0.003	2013-10-02
LHCL	-0.000	-0.021	2013-10-02
LPGS	0.001	-0.001	2013-10-02
MA01	0.001	-0.020	2013-10-02
MZAC	0.003	0.004	2013-10-02
SL01	-0.085	-0.038	2013-10-02
SRLP	0.003	-0.020	2013-10-02
TUCU	-0.008	0.008	2013-10-02
UCOR	-0.004	-0.011	2013-10-02
UNRO	-0.007	0.001	2013-10-02
UNSA	-0.002	-0.016	2013-10-02
UYTA	-0.002	0.000	2013-10-02
VBCA	0.006	-0.018	2013-10-02
GUAY	-0.001	-0.009	2013-10-02
MPL2	0.000	-0.008	2013-10-02
NESA	-0.007	-0.039	2013-10-02
PRNA	0.016	-0.004	2013-10-02
UYPA	0.004	-0.005	2013-10-02
UYSO	-0.000	0.005	2013-10-02
ALUM	-0.001	0.003	2013-12-11
BCAR	-0.000	-0.005	2013-12-11
CATA	-0.004	0.007	2013-12-11
EBYP	-0.003	-0.004	2013-12-11
ESQU	0.006	-0.005	2013-12-11
IGM1	0.004	-0.001	2013-12-11
LHCL	0.006	-0.020	2013-12-11
LPGS	0.010	-0.002	2013-12-11
MZAC	0.009	0.004	2013-12-11
SL01	-0.077	-0.036	2013-12-11
UCOR	0.001	-0.008	2013-12-11
UNRO	-0.003	0.002	2013-12-11
UNSA	0.004	-0.015	2013-12-11
UYTA	0.004	-0.002	2013-12-11
VBCA	0.012	-0.018	2013-12-11
GUAY	0.006	-0.009	2013-12-11
MPL2	0.006	-0.008	2013-12-11
NESA	-0.000	-0.039	2013-12-11
PRNA	0.024	-0.000	2013-12-11
UYPA	0.012	-0.005	2013-12-11
UYSO	0.008	0.004	2013-12-11
ALUM	-0.000	0.004	2014-02-19
AZUL	0.008	-0.004	2014-02-19
BCAR	-0.001	-0.003	2014-02-19
CATA	-0.000	0.008	2014-02-19
EBYP	-0.002	-0.004	2014-02-19
ESQU	0.004	-0.002	2014-02-19
IGM1	0.004	-0.001	2014-02-19
LHCL	0.006	-0.018	2014-02-19
